bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
338,Neusäß,DE,0.33336843445467496,-0.1764928927086833,-0.6102429704347653,0.3968594158758935,49263,3650.263327788579,144.14943,126.33033,3.5851393,0.16848207
340,Orléans,FR,0.35317611639361424,0.025513518517665583,-0.421771223368311,-0.07461945821368299,30074,2893.443844302689,159.23225,159.99402,0.8747164,0.0668819
341,Piatra Neamț,RO,0.4748595720881216,-0.11285921638938384,-0.21760765892758668,0.04802192154047573,5646,3891.1622326984966,178.29312,202.7611,6.821297,0.07397728
342,Debrecen,HU,0.3153538311942473,-0.3104587150635578,-0.6209430507535685,0.5025016995745838,17689,3347.6897044524344,232.49461,139.70586,0.70756453,0.17887913
343,Colmar-Ribeauvillé,FR,0.6278170430042338,-0.32598317560873286,-0.6617022277565633,0.589936541524762,9589,2974.2974574535097,249.44511,118.517204,1.8030821,0.19871372
344,Unirea,RO,0.6887342511246564,-0.15140925653257914,-0.5928075318777457,0.656260215988456,4834,3186.1327128420085,264.10696,89.730774,6.6560826,0.10638566
346,Schwabing-Freimann,DE,0.3821369522522747,-0.1849976317718513,-0.6010344124003091,0.37061801178597426,160707,4941.901071063944,159.17409,106.36415,1.8456798,0.3507496
347,VVG der Gemeinde Gundelfingen,DE,0.49726881294696523,-0.39408186664486355,-0.4925231478835904,0.4463073827574875,27492,3756.2779960866856,113.00357,172.92984,8.108414,0.19315769
348,Angers,FR,0.289969850387524,0.13596014915009677,-0.4535748110152793,-0.1688393782985407,34264,3060.8822678947977,174.13573,118.56173,0.75597155,0.20807496
349,Győr,HU,0.4070592186942159,-0.02392562648826409,-0.5241173805092667,0.09279800932419809,9280,3571.687258906052,141.37215,135.2688,0.9413616,0.10764636
350,Tatabánya,HU,0.38838219151552317,-0.445236187619062,-0.5426556401434719,0.7165696730762144,6549,2554.7253241343283,105.59629,137.73651,7.3217063,0.22989678
351,Măgura,RO,0.5348534045486287,-0.05448330533040341,-0.5428636512004417,0.2836649334414936,7275,5213.2276660486095,221.6682,117.961555,1.3121272,0.114903085
352,Stephanskirchen,DE,0.5300524615330183,-0.34082063893810305,-0.49665433632699285,0.6908413430952559,10790,2230.5007771345536,101.68598,145.21228,2.340832,0.067370005
353,Budapest,HU,0.42397298353462304,-0.5213440789136063,-0.6767006293277041,0.7133920610224131,11518,1948.9775222276273,155.32686,212.93024,2.2590966,0.101194106
354,Wals-Siezenheim,AT,0.3301991718033399,-0.17417396745511274,-0.548530901464187,0.34317752858015366,21974,3298.9757559944997,137.30963,123.21489,1.3077223,0.2083337
355,Nantes,FR,0.16068550733303932,-0.06536604619542351,-0.26964021640752805,0.09130217169409156,49152,4294.379557712923,166.35645,95.522156,0.60324425,0.22736456
356,Mulhouse,FR,0.40505676378004274,-0.36316103986049325,-0.6654259748425975,0.4952307481804768,25454,2874.584153147986,185.8042,98.375465,1.4084123,0.47148365
357,Budapest,HU,0.31538859223096277,-0.12896318792944877,-0.4697309741702805,0.11603949150446362,125883,4813.875008657212,223.96556,131.8847,1.159541,0.20258714
358,Tours,FR,0.1976779964913512,0.005014717655545216,-0.3091031644907541,0.011979803636706386,36218,3449.405449065024,179.82542,75.20982,0.6234281,0.29690722
359,Érd,HU,0.7068787713558101,-0.42999452512973874,-0.717969633066687,0.5764044133990269,16026,1509.5907655220738,277.42422,142.67747,3.8778923,0.2213957
360,Durach,DE,0.48135474227024205,-0.3938977472039515,-0.7302494152087851,0.8365099470228883,12263,2318.3174776458263,128.10294,107.395706,1.971441,0.20673142
361,Oradea,RO,0.4162378974759815,-0.21377278085295046,-0.597428409585924,0.35942404391500204,12460,5009.607140780877,166.86154,63.121277,0.7869757,0.33283436
362,Szigetszentmiklós,HU,0.609304452860616,-0.537539097502538,-0.41649314887334665,0.7464550556155373,9028,1755.0626216867895,159.93787,177.96727,4.2779684,0.081718884
363,Belfort,FR,0.5373041575528926,-0.24686864216515725,-0.6366766027173186,0.6054220521091772,11776,2453.985332019001,167.17154,132.46393,2.76981,0.105634056
364,Verwaltungsgemeinschaft Konstanz,DE,0.39902546025110913,-0.17577744905740575,-0.4256490450207883,0.26373947397852204,9961,4103.855693259677,293.51193,281.0005,1.9407418,0.07883668
365,Baciu,RO,0.5442238922756443,-0.2879791036688172,-0.5683194158208106,0.46106383132453743,23812,5081.863223967923,153.37813,238.80717,1.8467448,0.0883389
366,Székesfehérvár,HU,0.38927596724416524,-0.20882499955844544,-0.6544506810951964,0.3247867648356166,8609,3261.668844369836,229.2411,146.39975,4.006793,0.085953675
367,Târgu Mureș,RO,0.44511118633327396,-0.3826935023675942,-0.4614994662478372,0.6454793321340814,11334,4295.458975046678,184.58813,108.51352,2.1537416,0.21536702
368,Basel,CH,0.3911664575377345,-0.3985099913635212,-0.5154154819855427,0.5054359381006355,43893,3673.3166713796572,245.04842,259.92572,2.2760952,0.14633304
369,Winterthur,CH,0.5876451774306615,-0.38107954864481003,-0.34702474013295265,0.5530570958494943,22329,2716.354940521781,105.442314,321.20285,2.6752079,0.034292355
371,Baden,CH,0.48961425568313843,0.49235770082104297,-0.721712256794544,-0.2858168363774877,686,1400.5197626957745,506.19788,936.3861,2.062973,0.0022742965
