City,Country,Nodes,% Full Access,Mean Completeness,Median Categories,% >= 6 Categories,% >= 9 Categories
Saarbrücken,DE,16679,76.6,1.0,10.0,98.9,90.6
Innenstadt/Jungbusch,DE,48621,76.4,1.0,10.0,98.4,89.9
Monheim am Rhein,DE,15818,76.4,1.0,10.0,99.1,91.4
Ravenna,IT,7254,76.4,1.0,10.0,99.1,92.5
Acireale,IT,10994,76.4,1.0,10.0,98.7,87.6
Arnhem,NL,26000,76.3,1.0,10.0,99.6,96.0
Pordenone / Pordenon,IT,8031,76.2,1.0,10.0,99.1,88.7
Leonding,AT,29737,76.2,1.0,10.0,99.1,91.4
Darmstadt-Nord,DE,16433,76.1,1.0,10.0,98.8,92.0
Pau,FR,11932,76.1,1.0,10.0,99.8,92.1
Seiersberg-Pirka,AT,29611,75.9,1.0,10.0,99.6,91.5
Heepen,DE,24908,75.8,1.0,10.0,99.4,89.8
Λεμεσός,CY,19792,75.8,1.0,10.0,99.6,92.4
Grasse,FR,7566,75.7,1.0,10.0,99.3,94.6
Perpignan,FR,13623,75.7,1.0,10.0,99.1,91.0
Angers,FR,23848,75.6,1.0,10.0,98.8,91.5
Nieuwegein,NL,18648,75.6,1.0,10.0,99.6,95.0
Székesfehérvár,HU,6464,75.6,1.0,10.0,99.6,92.5
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",PT,63333,75.5,1.0,10.0,99.2,92.2
Stuttgart-Mitte,DE,68394,75.4,1.0,10.0,98.5,90.1
Nitra,SK,8365,75.4,1.0,10.0,99.1,91.6
Sjöberg,SE,122291,75.3,1.0,10.0,99.6,93.4
Caen,FR,23617,75.3,1.0,10.0,99.8,93.0
Ljubljana,SI,24178,75.2,1.0,10.0,99.4,91.4
Hamburg-Mitte,DE,134571,75.2,1.0,10.0,99.7,93.6
Ridderkerk,NL,9171,75.2,1.0,10.0,98.9,93.2
,,10936,75.2,1.0,10.0,98.8,87.3
Bellizzi,IT,3718,75.1,1.0,10.0,98.8,91.1
Bamberg,DE,9855,75.1,1.0,10.0,99.1,92.5
Hannover,DE,63209,74.9,1.0,10.0,99.5,92.9
Bielsko-Biała,PL,15065,74.9,1.0,10.0,99.4,89.6
Hildesheim,DE,9885,74.8,1.0,10.0,99.9,93.6
Banská Bystrica,SK,7415,74.7,0.9,10.0,97.0,89.2
Mitte,DE,24138,74.6,1.0,10.0,99.3,91.2
Udine / Udin,IT,10168,74.4,1.0,10.0,99.8,91.6
Partille,SE,68049,74.2,1.0,10.0,99.4,91.6
Stadtgebiet Bremen,DE,42627,74.2,1.0,10.0,99.3,90.9
Almelo,NL,8388,74.2,1.0,10.0,99.7,89.3
Verwaltungsgemeinschaft Konstanz,DE,11089,74.2,1.0,10.0,99.3,91.7
Deventer,NL,7896,74.2,1.0,10.0,99.0,93.6
Mitte-Gartenfeld,DE,10228,74.2,1.0,10.0,99.4,92.9
Ostrava,CZ,8868,74.1,1.0,10.0,99.0,93.7
Biel/Bienne,CH,7252,74.1,1.0,10.0,98.5,90.2
Sankt Gertrud,DE,18185,74.0,1.0,10.0,99.8,92.7
Rætebøl,DK,36028,73.9,1.0,10.0,99.6,93.6
's-Hertogenbosch,NL,20653,73.7,1.0,10.0,99.6,93.8
Pardubice,CZ,9533,73.5,1.0,10.0,99.3,94.5
Lugano,CH,8569,73.3,1.0,10.0,99.1,89.9
Draguignan,FR,6502,73.3,1.0,10.0,99.4,87.4
Helsinki,FI,152508,73.3,1.0,10.0,99.8,91.7
Hanau,DE,9768,73.2,1.0,10.0,98.8,90.2
Herzogenrath,DE,8857,73.2,0.9,10.0,98.2,89.0
Stokka,NO,33847,73.1,1.0,10.0,99.6,91.8
