bounds_fid,total_grids,accommodation_z_mean,accommodation_z_median,accommodation_z_std,accommodation_z_min,accommodation_z_max,active_life_z_mean,active_life_z_median,active_life_z_std,active_life_z_min,active_life_z_max,arts_and_entertainment_z_mean,arts_and_entertainment_z_median,arts_and_entertainment_z_std,arts_and_entertainment_z_min,arts_and_entertainment_z_max,attractions_and_activities_z_mean,attractions_and_activities_z_median,attractions_and_activities_z_std,attractions_and_activities_z_min,attractions_and_activities_z_max,business_and_services_z_mean,business_and_services_z_median,business_and_services_z_std,business_and_services_z_min,business_and_services_z_max,eat_and_drink_z_mean,eat_and_drink_z_median,eat_and_drink_z_std,eat_and_drink_z_min,eat_and_drink_z_max,education_z_mean,education_z_median,education_z_std,education_z_min,education_z_max,health_and_medical_z_mean,health_and_medical_z_median,health_and_medical_z_std,health_and_medical_z_min,health_and_medical_z_max,public_services_z_mean,public_services_z_median,public_services_z_std,public_services_z_min,public_services_z_max,religious_z_mean,religious_z_median,religious_z_std,religious_z_min,religious_z_max,retail_z_mean,retail_z_median,retail_z_std,retail_z_min,retail_z_max,avg_z_mean,label,country
398,35,0.1475314563966787,-0.05898553387012166,0.5089510525531119,-0.323838418135871,2.0808027433285603,0.26420653099490393,0.04597377900862226,0.7397700293710805,-0.8691641615062888,2.3247005205900435,0.05418632901799391,-0.03541541942317709,0.40157059951295354,-0.4218234673828697,1.6193658599639884,0.25756687276537704,-0.04596294940119626,0.8471720004624633,-0.5622372471618002,3.1318283592303917,0.17774324640844621,-0.03821328721603808,0.7452778881819103,-0.6362824476539853,3.198825646894644,0.23540391522269627,-0.07176241794711127,1.101012583125062,-0.39070801301317243,5.366731219024327,0.09513699834886272,0.0009912292822591984,0.6570430068366062,-1.2339682868378368,2.1875139978688223,0.015562287057755628,-0.07394373338624817,0.3662840726373979,-0.5030583272014405,1.3626558212233681,0.20829610784180874,0.0204920686224281,0.6017731764041598,-0.8271683159273353,2.046635756851602,-0.025687009127913107,-0.1571590832825794,0.4670006480007978,-0.44957732077204815,1.3237330872256594,0.14851629770255725,-0.1013735070851676,1.2895408435363573,-0.7182758669141739,6.708993312462246,0.1434966393299243,La Rochelle,FR
182,72,-0.017858221487837563,-0.06246010550672286,0.1732740719175668,-0.2828405735588018,0.6719772424298288,0.0712686144746151,-0.17207807354705446,0.8150333185403481,-0.8982995686665881,3.2700472772108697,0.19580845860976845,-0.064436264537483,0.7476043607711096,-0.3521014888346876,3.0998662336899914,0.13011240903125945,-0.040740049244225356,0.5461938373461013,-0.4028603400732059,2.6158620824904864,0.1222560368726083,-0.07045218413804305,0.7448858570749808,-0.6744513976413955,4.550989704675423,0.07803138606623186,-0.05454446111701513,0.47276969718995604,-0.5546393169631596,2.191176315647634,0.19956092353183588,-0.07017509632582027,0.7829470839728332,-0.5642766711814245,3.676176181461059,0.20547324982168072,-0.0005117811223882512,0.6997611870249842,-0.5711792835115134,3.6799084121840338,0.18922745581806824,-0.02851771025443433,0.7653901596603626,-0.44956528454448774,4.500434472204734,0.33265442802520573,0.12833751424531578,0.7892748412341134,-0.30103141696334074,3.931900282441004,0.08907782685823662,-0.12139447620311483,0.6640588580754936,-0.361134464488885,4.287681313592781,0.1450556879656066,Vellmar,DE
0,39,-0.009711849021086568,-0.08767299257830785,0.22728884894945134,-0.19429910538256953,0.6645028664348341,0.279448272002659,-0.0738532489481031,0.8541980385733026,-0.6688872463973791,3.059045710648076,0.2423239335383478,-0.09088127896175557,1.1546092845363978,-0.20835293468322355,5.29377007170144,0.24423307524653723,-0.015257440423981042,0.7990150614732802,-0.2052518310817077,4.255666044277305,0.05764879265580323,-0.1275550350664663,0.8469753650731149,-0.38898668440157647,4.771481248031343,0.08097001040359762,-0.07014087093231323,0.631749756822904,-0.24191947425853064,3.4925736984589664,0.10337843690643689,-0.07157036947525285,0.5256839007502946,-0.35292446575803404,1.8281704746665677,0.18634766003125242,-0.09077373098250385,0.8774578242381712,-0.4122473409082082,3.5095577516340133,0.2582743002541476,-0.03500551588298302,1.0704136994623112,-0.42041396800963765,5.072116901829159,0.16475321832092796,-0.10844101810294504,0.8004078682732408,-0.2616950207107002,3.162882495447427,0.006544892337109503,-0.14066028850344475,0.5428622097591335,-0.3338720570448208,2.672185983212025,0.14674643115233932,,
688,59,0.0327954810625524,-0.07968989761467977,0.41566401890493465,-0.5804597658053524,1.1944047357321605,0.2994997130415965,0.11665175198511331,0.916587950384686,-0.9305030004257677,3.5577702690496027,0.17967538145559966,-0.08310769091000621,1.1371385737586341,-0.6840923589584713,6.550870807315917,0.14144831240140276,-0.06310652008239001,0.784634446035548,-1.0066360633545304,3.810458916850013,0.21022128525215822,-0.03881259488682805,0.8078428772819763,-0.7801320242777795,3.8813061160038678,0.14899177470147987,-0.033179509540377745,1.0337102459569507,-0.9449519308149116,6.6192106701422695,0.4540614753198082,0.22205847583065316,0.8230904808253118,-0.5186227872585318,3.5253717468777657,0.1355231683602238,-0.08753419701525046,0.8770798583361599,-0.5617911435033087,4.839329537027237,-0.18956949642902154,-0.19101000464013967,0.5769879185551108,-1.1054052334015192,2.3749285171327563,-0.00028986355385157274,-0.15219485846215025,0.6921715677707834,-0.8957789640317761,2.745737453854643,0.21428763343724158,-0.031892672921184605,0.7915674469958021,-0.6550232645634868,4.531887255413861,0.14787680591356273,Λεμεσός,CY
469,43,0.11857481870851369,-0.03348414734554054,0.5748420066476302,-0.2515346456615874,2.39293598769187,0.18881003178653075,0.07883487998356907,0.5521199998966768,-0.7594093701821153,1.4993085063707834,0.06224344948878322,-0.06754096367721805,0.4929501211251101,-0.5521128264842289,2.2350512029811807,0.27351480084233626,-0.07315248148614803,1.0070057647268027,-0.45912856254891987,4.516179060738312,0.0985759036807664,-0.061182928707520116,0.6557241278800808,-0.4776988058856939,3.680964663920568,0.1433643778780497,-0.02364031838836847,0.680747029088148,-0.4465930906388008,3.6570948184326784,0.1012992368840394,-0.08728161814552057,0.6905196612236268,-0.8436639031350502,2.534793215481743,0.0617826694012209,-0.05878542670861513,0.48693014995603706,-0.5048691397633738,2.330977465791433,0.251876367045248,0.05215193820754031,0.8212088058369084,-0.5534869424661116,4.426123638432744,0.18578733917045878,-0.09209388876897254,0.9408529965645721,-0.5104174465311021,3.654568246659365,0.14223785958449645,-0.01585230244311732,0.7187201610242088,-0.4000992791894351,4.235248094536313,0.1480060776791312,Ferrara,IT
292,50,-0.022609988236419586,-0.06468282116696236,0.19578789247492112,-0.2924355683669157,0.6339159951150206,0.01579825305696409,-0.19620121657757114,0.7077172996981983,-0.9417306829195201,2.256643286558939,0.2544562559569567,-0.08417410547123166,1.0149254914360462,-0.38494067582567637,4.69771670039618,0.020569820995666923,-0.09723546063885553,0.3862445919408526,-0.621640668944735,1.6468931912914373,0.23555443784997965,0.014397592130243001,0.7794217414565389,-0.6313187520982239,3.5620871625837647,0.14209713511966457,-0.049319692333719994,0.7728833665326779,-0.4325844948368631,4.596869078686377,0.16734742464761762,0.015550290572703917,0.5522928024361836,-0.5047792665484542,1.9036214864150574,0.3292318923951238,0.02715625871201143,0.8215729677587249,-0.7610774046566221,2.753382458653682,0.26169496681998405,-0.028875291622238883,0.8494691540220959,-0.3530215382009402,4.0893254488251705,0.10786103466929954,0.020287125729577186,0.4376436461568547,-0.536572850018486,1.5600324794240157,0.11983063303123176,-0.05961597738405678,0.7358046808663171,-0.6020774763167389,3.684518441951439,0.1483483514823699,Saarbrücken,DE
235,33,-0.007384283525434164,-0.046909643175008106,0.1635411490422922,-0.1691366391587935,0.47751222161235385,0.1394987770154693,-0.03105877685188813,0.620183153790014,-0.6160551849664975,2.077484147335097,0.2433336046712208,0.02758843223179159,0.6981306590217723,-0.32272146076122343,2.383969256934989,0.08337398962656278,-0.032915760287899894,0.4529956286579141,-0.3542485711456502,1.8051208034484134,-0.01393642664744646,-0.11859357903808565,0.34039990513507645,-0.383118133970936,1.2860383928450196,0.24420813742484682,-0.05090524210850621,1.0075017113664486,-0.17189783564550404,4.7354543741503194,0.200821630374682,-0.08665518285562425,0.8182300618306052,-0.4361216822565615,3.7771241559001307,-0.021759104906802884,-0.014845254503261457,0.23765422628947847,-0.40283086109069627,0.5338732017078799,0.4968317203380935,0.07184497814734465,1.0636485314678348,-0.22107265390994274,3.9783925507190503,0.08660514916134592,-0.03156978395456779,0.6287273641724374,-0.5321086450817202,1.9792266399755551,0.1937459886661395,-0.05750714199799967,0.9321184216121083,-0.39836269427787174,4.2721274495844055,0.14957628929078884,Namur,BE
494,33,0.27620176036575284,0.011681307963357595,0.9184659490379027,-0.49691709747472895,3.423662012390005,0.024695581255560654,-0.15666940351267683,0.7607247784546192,-1.3571815395465674,1.7474355655956224,0.7375729513596853,-0.10712728710742825,2.259277886155526,-0.9390221888782472,8.26207810356747,0.18445762949173403,-0.13366584849606994,1.2241146669272323,-0.7062826587000968,3.900099683625872,0.06833009808065756,-0.1231191578059611,0.8132090520328878,-1.3267152714040285,3.725486797598296,0.17876481282274267,-0.06447181700302393,1.226555404476633,-0.9939226660585723,5.977689950563815,-0.0695243865779449,-0.14314228096569717,0.6265848037562558,-1.3700457856009565,1.774173151365853,-0.01621968906379559,0.0007333091112335774,0.3905326047767266,-1.0444992937056001,1.014641976681912,0.1558824602092271,0.05874525580545621,0.7016079517379398,-0.6878498514042791,3.001863237972482,-0.03734971364463842,-0.3062722952035857,1.0582101934300405,-0.9386329042439542,3.4331009059107362,0.14758497904840306,-0.10917785539275089,1.2629907693377378,-1.072481290064828,6.175247523031578,0.15003604394067127,Avignon,FR
214,49,0.11135263013947852,-0.052250580274371294,0.5030773966963894,-0.24349455092299577,2.074738628924243,0.2453014800679949,0.13546727868067399,0.5816549043133566,-0.5766615591618705,2.0583486342800374,0.03972511793373166,-0.061317692553073656,0.589983114381551,-0.7590655211288165,2.2115083867367997,0.3762706283402604,0.030692420536437056,1.1504546144268863,-0.34470443418752644,5.463577353331527,0.01785474585081015,-0.07950934801532189,0.42111895560555984,-0.8861298343787528,1.5501718106627633,0.15505771677270033,-0.03881287122372863,0.9133531386812487,-0.5102920616642961,4.501838447959291,0.19859818957351297,-0.07611272700797181,0.9590445134013631,-0.444675203514281,4.755717509517656,0.10523670024509725,-0.022896865011067236,0.4468013470806625,-0.5520451557461955,1.5579760073462985,0.11184280291660989,-0.055513862771712136,0.5472636231200043,-0.8025260310539314,2.275983089028332,0.17619090092567624,-0.13128163240115026,1.1362922099817303,-1.0024882551681975,5.170206183460617,0.11847455499535513,-0.10125117121481479,0.9710994137901207,-0.5310935496313056,5.448088537135454,0.15053686070556613,Maastricht,NL
121,21,-0.10270371121012643,-0.07169130837506209,0.07152850894806581,-0.2298986763745825,-0.0254414694815518,-0.03865194823992292,-0.21511671557139822,0.6055403567210822,-1.0814450971520289,1.0749482355342224,0.10045064391674634,-0.04716674630291762,0.810358894367324,-0.9253208416169815,2.33777053683763,-0.08003690933161194,-0.1557840342936077,0.5928501774853806,-0.755043816787691,2.0201349486862323,0.21031423467556198,-0.0951767635200697,0.8210583403764096,-0.5377684027015724,2.9487564030760662,0.011979888410767565,-0.08475403948244586,0.6002992512095411,-0.8880743251757607,1.8499695548731943,0.26427466926128174,0.05216786282472124,0.8981874678540213,-0.5084378913653155,3.36450136887916,0.7223659540989645,0.061718040312498806,1.6054974611843038,-0.31785322168651514,5.556225546519188,0.11928984769799833,0.019732846263179758,0.4920722978269313,-0.40136623828077567,1.6854646242742082,0.4233371443328675,0.10423892122616575,1.2200759619722064,-0.36581012555535886,4.370467040561447,0.039002616101117826,-0.11199658220783956,0.7169893257751339,-0.9731608905864717,2.2049044554342716,0.15178385724669494,Hildesheim,DE
111,53,-0.03459781599579037,-0.07710149477603094,0.1860212971668864,-0.24227372097478717,0.5846732978849628,0.0857131791282151,-0.0874537296400341,0.6838266860002036,-0.78016066310234,2.744877231074971,0.27800066852050126,-0.05154741561893708,0.8728475349969759,-0.3676418362061063,4.252364593892645,-0.02624750232301647,-0.1285779962954169,0.6467893605596694,-0.6072436383823326,2.825521147755794,0.21849521754564916,-0.04199152542315896,0.8415082808087343,-0.7369589524559087,5.135299461049421,0.10359636103855997,-0.04914487566265725,0.7872182174389715,-0.5055475475195444,4.728504019612909,0.250412938000412,-0.011639405746554778,0.8086565965493709,-0.33488008214135534,4.493979248308809,0.3181395024373078,-0.005383222221965668,0.9615108595689663,-0.5390682441517618,4.9772919347987665,0.1495094278358102,-0.05939304764037465,0.9548491970854573,-0.49628670147278103,5.897128289740247,0.24908143050677575,-0.0038491172117876803,0.8823659963197032,-0.5173930111272077,4.448083725386006,0.08654467327518066,-0.06553088274402555,1.0210345055921377,-0.9776559044472807,6.755816152014598,0.15260437090632772,Lotte,DE
153,67,0.0314320796896717,-0.05722719301849589,0.3283407164961073,-0.27155901669046495,1.3896881033269017,0.3707742572967116,0.24783020540039286,0.8703096684497389,-0.6874092324839557,4.1688936705279325,0.1526634361485803,-0.07472597156142047,0.811653851318348,-0.48610852814333655,3.5958059219680503,0.14171852971593282,-0.03118834929039256,0.6140406401373484,-0.27946938366615603,3.8182067534899806,0.1888753370057421,-0.03917721989829508,0.5612812264862721,-0.5953470238358184,1.93299038782024,0.07631106882601668,-0.057392059906964,0.8661203493992805,-0.4982070130715908,5.729563928915767,0.19082972872019252,0.03304398707707707,0.6982899055589946,-0.8259362264136904,3.9485961830555723,0.10712301432387576,0.006097636239834,0.3232054295937663,-0.5098232147884562,1.1554675730832087,0.14076624716810598,0.04353805694210377,0.4441128854618108,-0.5152406694163499,1.961577893474792,0.1266645283761291,-0.08590960918242074,0.7142501851189192,-0.7307792429661243,2.612462940528276,0.15237969409755733,-0.0638154069002338,0.9279398653009832,-0.6344801583168588,6.58855047157473,0.15268526557895598,'s-Hertogenbosch,NL
270,44,-0.05504634890702913,-0.07355477784159042,0.1827603984184348,-0.40151467527525747,0.39239354307619495,0.3077313487238874,-0.023671833692790734,0.9012300794634369,-1.2898333167520175,2.9398698384798467,0.16948508092271078,0.01424861151805879,0.6736388787132112,-0.5664273448271918,3.1972513580832427,0.08015162529822704,-0.03016018653989667,0.5755588014683448,-0.5958493325679924,2.3993743355325865,0.2613985561514006,-0.14036019394240337,0.8516764904103522,-0.7571094357236414,3.0925160587674188,0.0877643422545178,-0.030098320714173076,0.6292941193523636,-0.5555003433550207,3.298308044774426,0.25379557835657085,-0.07589348786416066,1.0163036861710486,-1.0646963736741195,4.497128142751053,0.1818539499998585,-0.08727395533696185,0.8241383680478656,-0.706722874883591,3.5471017593440397,0.1236984388895253,-0.056754159901458504,0.6829980160555322,-0.784931935043968,2.8093490828277448,0.31617152858755004,0.07570007123577684,0.8062399840266253,-0.5483597066832566,3.0141231569568983,-0.03493437647861991,-0.14831674029830505,0.755415904049932,-1.0430273853188097,3.875975826328317,0.1538245203453272,Darmstadt-Nord,DE
