bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
72,Cork,IE,23710,0.39,0.37,0.34,0.35,2733.02,0.50,19.12,0.78,2.05,20.53,57.52,0.05,0.30
73,Leeuwarden,NL,17829,0.52,0.55,0.52,0.44,2941.28,0.50,17.59,1.63,0.78,19.76,60.24,0.82,0.35
74,Lüneburg,DE,13016,0.44,0.44,0.50,0.48,2100.54,0.50,20.17,1.28,1.65,17.29,59.61,0.00,0.33
75,Groningen,NL,23089,0.52,0.55,0.47,0.38,4114.53,0.50,20.19,0.71,1.08,20.70,57.33,0.00,0.36
77,Wardenburg,DE,29310,0.41,0.39,0.47,0.43,2382.09,0.50,17.56,1.56,3.14,16.26,61.49,0.17,0.30
79,Stadtgebiet Bremen,DE,56584,0.43,0.45,0.50,0.32,3361.06,0.50,19.04,1.52,1.67,19.48,58.29,0.61,0.32
80,Assen,NL,17162,0.43,0.44,0.47,0.48,2133.81,0.50,18.31,1.53,1.16,19.05,59.95,0.00,0.31
91,Alkmaar,NL,14689,0.50,0.53,0.42,0.49,3449.50,0.50,16.37,2.57,1.82,19.59,59.66,0.00,0.35
92,Warszawa,PL,215132,0.54,0.61,0.34,0.43,6509.87,0.50,15.94,0.99,0.41,21.60,61.06,0.00,0.36
96,Zwolle,NL,22466,0.52,0.57,0.52,0.54,3256.19,0.50,15.85,1.68,1.88,19.90,60.70,0.00,0.35
97,Poznań,PL,76575,0.49,0.54,0.38,0.39,4327.28,0.50,17.16,1.39,0.66,21.13,59.66,0.04,0.34
98,Haarlem,NL,26256,0.50,0.54,0.38,0.38,3951.34,0.50,19.52,1.45,0.71,21.01,57.30,0.08,0.35
102,"Innenstadt, Frankfurt (Oder)",DE,10614,0.43,0.44,0.47,0.34,2528.21,0.50,21.86,0.50,0.69,21.51,55.45,0.00,0.32
103,Steglitz-Zehlendorf,DE,23271,0.44,0.46,0.45,0.43,3171.01,0.50,17.79,1.80,1.92,19.17,59.33,0.00,0.32
104,Wolfsburg,DE,16991,0.38,0.38,0.46,0.41,1961.54,0.50,17.19,1.28,2.53,20.22,58.79,0.18,0.28
105,Amsterdam,NL,118069,0.53,0.58,0.48,0.29,5354.87,0.50,18.88,1.48,1.43,20.25,57.96,0.16,0.37
106,Almelo,NL,12097,0.44,0.44,0.54,0.50,2520.69,0.50,16.77,0.93,1.12,21.58,59.59,0.00,0.31
107,Deventer,NL,10753,0.47,0.49,0.50,0.45,2902.94,0.50,19.52,0.67,1.26,20.17,58.38,0.00,0.34
108,Hilversum,NL,13066,0.47,0.53,0.47,0.32,3015.68,0.50,19.16,0.97,0.44,23.42,56.02,0.00,0.34
109,Hannover,DE,74297,0.44,0.46,0.52,0.26,3243.27,0.50,17.02,1.48,2.13,18.68,60.68,0.36,0.31
110,Hengelo,NL,15878,0.47,0.49,0.55,0.44,2355.41,0.50,18.66,1.27,0.71,20.78,58.58,0.00,0.33
111,Lotte,DE,22438,0.41,0.40,0.44,0.30,2359.77,0.50,20.00,0.58,1.19,20.62,57.62,0.00,0.31
112,Soest,NL,10119,0.42,0.48,0.54,0.36,2186.91,0.50,19.39,0.47,0.43,23.93,55.78,0.00,0.31
113,Apeldoorn,NL,25966,0.49,0.53,0.51,0.48,2922.05,0.50,15.35,1.10,1.57,22.25,59.73,0.00,0.33
114,Leiden,NL,41658,0.54,0.58,0.50,0.50,inf,0.50,30.00,0.00,30.00,0.00,39.99,14.86,0.42
116,Amersfoort,NL,23633,0.51,0.56,0.49,0.50,3552.01,0.50,17.23,1.61,1.15,21.31,58.70,0.00,0.35
118,Mitte,DE,28840,0.43,0.45,0.46,0.33,3144.81,0.50,18.45,2.24,1.60,18.55,59.15,0.02,0.32
120,Utrecht,NL,42080,0.52,0.57,0.54,0.40,5247.52,0.50,20.19,0.49,1.04,20.36,57.92,0.07,0.37
121,Hildesheim,DE,12133,0.45,0.47,0.56,0.38,2664.35,0.50,16.62,2.36,1.69,18.35,60.98,0.79,0.32
