label,country,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count,business_and_services_per_1000_pop,business_and_services_per_km2,active_life_per_1000_pop,active_life_per_km2,arts_and_entertainment_per_1000_pop,arts_and_entertainment_per_km2,public_services_per_1000_pop,public_services_per_km2,retail_per_1000_pop,retail_per_km2,health_and_medical_per_1000_pop,health_and_medical_per_km2,eat_and_drink_per_1000_pop,eat_and_drink_per_km2,education_per_1000_pop,education_per_km2,attractions_and_activities_per_1000_pop,attractions_and_activities_per_km2,religious_per_1000_pop,religious_per_km2,accommodation_per_1000_pop,accommodation_per_km2
Talavera de la Reina,ES,608,25.769647010922185,79604.36743001036,990,95,54,79,665,178,355,143,39,35,16,12.436503573380271,38.417289906237336,1.1934018580516423,3.686507617265199,0.6783547403661967,2.0954885403402184,0.9924078609061026,3.0656221238310604,8.353813006361497,25.805553320856394,2.2360582182441298,6.907351114454793,4.459554311666663,13.775896885569955,1.7963838494882616,5.5491640975676155,0.48992286804225316,1.5134083902457132,0.43967436875586824,1.3581870168871786,0.20099399714553975,0.6208854934341388
Περίσταση,GR,609,28.453446392835186,60815.876888962164,735,93,50,70,768,165,386,117,36,38,32,12.085659824357469,25.83166867916145,1.5292059369595166,3.2684968532816527,0.8221537295481273,1.7572563727320714,1.151015221367378,2.4601589218249,12.628281285859234,26.991457885164618,2.7131073075088197,5.798946030015836,6.347026792111542,13.566019197491592,1.9238397271426178,4.111979912193047,0.5919506852746517,1.2652245883670914,0.6248368344565767,1.3355148432763742,0.5261783869108014,1.1246440785485257
Acerra,IT,610,22.94925815416303,57158.05646696393,465,41,26,48,478,66,156,51,19,20,8,8.135336096824068,20.262092869248075,0.7173092042361007,1.7865501239552068,0.45487900756435645,1.1329342249472043,0.8397766293495812,2.091570876825608,8.362775600606247,20.82855998172168,1.1546928653556743,2.875909955635211,2.729274045386139,6.797605349683225,0.8922626686839301,2.2222940566272085,0.3324115824508759,0.8279134720768031,0.34990692889565883,0.8714878653440034,0.13996277155826353,0.34859514613760134
Altamura,IT,611,22.94925815416304,68422.07089468613,915,74,49,68,849,118,290,72,39,30,113,13.37287790380314,39.870569839488134,1.0815223659906363,3.224505101772811,0.716143188291097,2.1351452700928073,0.9938313633427469,2.96305874216961,12.408276874676355,36.994659883852925,1.7245897187418258,5.141778405529617,4.238398461314657,12.636574047488041,1.0522920317746731,3.1373563152384105,0.5699915172112814,1.6994013374208057,0.4384550132394472,1.3072317980160044,1.6515138832019176,4.923906439193616
Aranjuez,ES,612,21.949258154163285,52453.49530844533,453,56,41,38,317,86,249,64,40,19,17,8.63622142502035,20.638510733178286,1.0676123615919197,2.5513390751831877,0.7816447647369412,1.8679446800448338,0.7244512453659455,1.731265801017163,6.043448546868545,14.442401550590546,1.6395475553018766,3.9181278654598954,4.747062107792643,11.344346959296674,1.2201284132479084,2.9158160859236433,0.7625802582799427,1.822385053702277,0.36222562268297276,0.8656329005085815,0.3240966097689756,0.7745136478234678
Brindisi,IT,613,32.49662633128747,74696.8951474243,1050,108,51,171,770,132,406,105,82,43,129,14.05680916091204,32.31104636203633,1.4458432279795241,3.3234219115237362,0.682759302101442,1.5693936804417645,2.289251777634247,5.262084693245916,10.308326718002164,23.694767332159973,1.7671417230860853,4.061960114084567,5.435299542219322,12.493604593320713,1.405680916091204,3.2311046362036326,1.0977698582807498,2.523338858749504,0.5756598037325884,1.3232142795881543,1.726979411197765,3.969642838764463
Pozzuoli,IT,614,57.77229277032085,86346.46976859843,887,129,79,109,739,114,704,71,102,45,153,10.272568205476015,15.353380616662582,1.493981170807673,2.2329042835957984,0.9149187015023732,1.3674375070082796,1.262356183085553,1.8867175729607908,8.558543296332326,12.791598957963526,1.3202624300160828,1.9732642506195426,8.153199567818616,12.185772214352264,0.8222687064135253,1.2289628227542766,1.181287437382811,1.7655522242385382,0.5211562223747696,0.7789200989287668,1.7719311560742166,2.648328336357807
Matera,IT,615,34.36003685644222,55647.9679830415,1087,77,57,143,757,131,485,106,124,53,669,19.53350750078168,31.635588883141622,1.3836983234224376,2.240975477462654,1.0242961614945316,1.6589039248749518,2.5697254577845268,4.161811601002072,13.603371828971238,22.031408265444536,2.3540841606277834,3.8125686694494507,8.715502426751717,14.115235150251783,1.904831458217901,3.0849792287148228,2.2282934039530162,3.608843626043755,0.9524157291089504,1.5424896143574114,12.02200231648845,19.470293434058643
Toledo,ES,616,29.812826949374305,53245.10196320785,917,83,60,160,628,224,488,173,168,100,210,17.22224141168221,30.758572528434627,1.5588288300650202,2.7840365538277796,1.1268642145048338,2.0125565449357445,3.0049712386795564,5.366817453161985,11.79451211181726,21.06475850366079,4.206959734151379,7.513544434426779,9.165162277972648,16.368793232144053,3.2491251518222706,5.802871371231396,3.1552198006135344,5.635158325820084,1.8781070241747229,3.354260908226241,3.944024750766918,7.043947907275105
Cáceres,ES,617,38.36003685644238,93435.31671581545,1255,104,64,154,796,280,440,198,113,48,120,13.431751976793704,32.71633978602993,1.1130694865231436,2.711154850794512,0.684965837860396,1.6684029851043147,1.648199047351578,4.014594682907258,8.519262608388676,20.750762127234914,2.9967255406392326,7.299263059831377,4.709140135290223,11.470270522592164,2.1191130608806,5.161621735166474,1.2093928074722617,2.945774020574806,0.5137243783952969,1.2513022388282362,1.2843109459882425,3.1282555970705905
