bounds_fid,city_label,country,n_nodes,mean_dist,median_dist,std_dist,p25_dist,p75_dist,pct_within_400m,pct_within_800m,pct_within_1600m,pct_below_city_mean,pct_above_2x_city_mean,equity_ratio
694,Ragusa,IT,5888,408.95,255.23,387.45,148.79,520.27,69.43,83.42,100.00,69.96,16.25,3.50
59,Białystok,PL,38688,435.55,313.93,355.33,172.86,603.54,60.30,83.86,100.00,63.52,13.79,3.49
131,Kalisz,PL,8351,399.40,269.69,346.32,157.74,547.14,66.10,85.55,100.00,66.05,14.53,3.47
511,Tarbes,FR,9142,503.38,391.29,382.17,207.77,716.03,51.25,79.04,100.00,61.76,13.30,3.45
304,Neureut,DE,37024,497.24,381.20,378.38,204.74,704.82,51.99,79.38,100.00,61.41,13.36,3.44
441,Saint-Étienne,FR,19159,510.16,414.24,374.46,210.55,723.99,48.61,79.25,100.00,58.74,11.96,3.44
292,Saarbrücken,DE,20765,574.65,479.23,397.25,247.51,843.86,41.71,72.73,100.00,57.92,11.51,3.41
288,Brest,FR,18848,483.20,374.08,365.69,200.34,681.77,53.12,80.91,100.00,61.15,13.09,3.40
284,Zirndorf,DE,66728,502.53,413.30,361.10,213.20,717.77,48.59,79.76,100.00,58.65,11.33,3.37
184,Antwerpen,BE,43887,469.04,366.27,358.08,195.22,655.03,53.96,82.71,100.00,60.90,12.23,3.36
190,Stadtbezirk 1,DE,57000,493.15,399.71,365.72,207.90,694.86,50.04,81.06,100.00,59.24,11.51,3.34
188,Lüdenscheid,DE,8453,583.83,497.82,400.78,251.49,838.97,41.18,72.38,100.00,56.90,11.26,3.34
237,Katowice,PL,154071,458.56,345.45,353.90,192.66,641.74,56.49,82.97,100.00,62.15,12.54,3.33
118,Mitte,DE,27621,515.00,430.75,372.42,218.71,728.23,46.77,79.27,100.00,58.44,11.34,3.33
246,Lahnstein,DE,18532,553.01,452.08,392.07,240.04,799.12,44.99,75.03,100.00,58.93,12.10,3.33
85,Wołomin,PL,8619,595.54,507.08,402.18,262.16,872.18,40.00,70.82,100.00,57.49,11.23,3.33
231,Sosnowiec,PL,10199,592.99,509.56,397.95,262.44,872.70,39.88,71.14,100.00,57.29,10.80,3.33
82,Włocławek,PL,9022,463.93,324.65,387.36,185.30,614.43,59.64,81.42,100.00,65.56,15.21,3.32
415,Udine / Udin,IT,12140,464.83,368.16,356.53,192.92,639.61,53.63,82.99,100.00,61.10,12.59,3.32
175,Iserlohn,DE,11324,635.04,547.24,415.74,285.77,947.16,37.03,66.90,100.00,56.47,10.54,3.31
132,Pabianice,PL,6761,480.17,351.75,380.72,199.24,658.84,56.31,80.00,100.00,64.55,14.84,3.31
632,Mérida,ES,5721,409.30,294.74,345.43,164.34,542.22,62.84,87.22,100.00,63.70,12.15,3.30
669,Partido Judicial de Santa Fe,ES,7977,447.85,329.97,364.07,182.70,602.04,58.81,84.20,100.00,63.56,12.89,3.30
358,Tours,FR,34460,499.95,412.00,356.82,217.29,706.46,48.80,80.97,100.00,58.52,11.29,3.25
364,Verwaltungsgemeinschaft Konstanz,DE,13028,502.28,399.03,369.35,217.08,705.09,50.13,80.22,100.00,60.52,12.26,3.25
206,Erfurt,DE,23899,482.42,371.73,366.12,206.64,663.56,53.39,81.49,100.00,61.60,12.52,3.21
491,Bayonne,FR,17722,474.68,393.41,341.83,206.83,663.01,50.85,82.77,100.00,59.25,11.10,3.21
515,Ancona,IT,7782,434.71,350.02,342.78,179.91,576.64,56.37,86.65,100.00,60.58,11.28,3.21
317,Vereinbarte Verwaltungsgemeinschaft der Stadt Göppingen,DE,16516,623.66,551.40,404.12,285.47,912.04,37.38,68.13,100.00,55.36,9.46,3.19
214,Maastricht,NL,16724,474.03,358.00,369.97,202.11,644.81,55.18,82.17,100.00,63.09,13.05,3.19
241,Valenciennes,FR,15223,539.30,442.39,383.64,236.62,752.35,45.54,77.78,100.00,58.98,11.84,3.18
55,Ortsbeirat 14 : Stadtmitte,DE,14768,436.79,348.90,323.07,191.52,608.30,56.23,86.07,100.00,60.34,10.82,3.18
